id,folder,role,seniority,years,location,github,inconsistency_types,filename
215,legitimate,Software Engineer,Junior,1,"Zurich, Switzerland",True,,cv_215_software_engineer_junior.pdf
216,legitimate,Frontend Engineer,Staff,14,"Stockholm, Sweden",False,,cv_216_frontend_engineer_staff.pdf
217,legitimate,Principal Engineer,Senior,7,"Copenhagen, Denmark",False,,cv_217_principal_engineer_senior.pdf
218,legitimate,Backend Engineer,Staff,14,"Birmingham, United Kingdom",False,,cv_218_backend_engineer_staff.pdf
219,legitimate,Full Stack Engineer,Junior,2,"Edinburgh, United Kingdom",True,,cv_219_full_stack_engineer_junior.pdf
220,legitimate,Machine Learning Engineer,Junior,1,"Madrid, Spain",False,,cv_220_machine_learning_engineer_junior.pdf
221,legitimate,Data Analyst,Mid,4,"Amsterdam, Netherlands",False,,cv_221_data_analyst_mid.pdf
222,legitimate,Frontend Engineer,Staff,12,"Zurich, Switzerland",True,,cv_222_frontend_engineer_staff.pdf
223,legitimate,Staff Engineer,Staff,10,"Berlin, Germany",True,,cv_223_staff_engineer_staff.pdf
224,legitimate,Staff Engineer,Staff,12,"Oxford, United Kingdom",False,,cv_224_staff_engineer_staff.pdf
225,legitimate,Staff Engineer,Senior,7,"Edinburgh, United Kingdom",False,,cv_225_staff_engineer_senior.pdf
226,legitimate,Machine Learning Engineer,Senior,7,"Paris, France",True,,cv_226_machine_learning_engineer_senior.pdf
227,legitimate,Principal Engineer,Senior,7,"Stockholm, Sweden",False,,cv_227_principal_engineer_senior.pdf
228,legitimate,Research Engineer,Senior,6,"Dublin, Ireland",True,,cv_228_research_engineer_senior.pdf
229,legitimate,Staff Engineer,Staff,14,"Amsterdam, Netherlands",True,,cv_229_staff_engineer_staff.pdf
230,legitimate,Software Engineer,Mid,3,"Berlin, Germany",False,,cv_230_software_engineer_mid.pdf
231,legitimate,Full Stack Engineer,Mid,3,"Birmingham, United Kingdom",True,,cv_231_full_stack_engineer_mid.pdf
232,legitimate,Software Engineer,Junior,1,"Berlin, Germany",False,,cv_232_software_engineer_junior.pdf
233,legitimate,BI Analyst,Mid,5,"Paris, France",True,,cv_233_bi_analyst_mid.pdf
234,legitimate,Machine Learning Engineer,Mid,5,"Madrid, Spain",True,,cv_234_machine_learning_engineer_mid.pdf
235,legitimate,Backend Engineer,Mid,4,"Zurich, Switzerland",True,,cv_235_backend_engineer_mid.pdf
236,legitimate,Principal Engineer,Staff,10,"Stockholm, Sweden",False,,cv_236_principal_engineer_staff.pdf
237,legitimate,Research Engineer,Staff,10,"Amsterdam, Netherlands",False,,cv_237_research_engineer_staff.pdf
238,legitimate,BI Analyst,Staff,12,"Liverpool, United Kingdom",False,,cv_238_bi_analyst_staff.pdf
239,legitimate,Data Analyst,Staff,10,"Glasgow, United Kingdom",False,,cv_239_data_analyst_staff.pdf
240,legitimate,Machine Learning Engineer,Senior,6,"Lisbon, Portugal",False,,cv_240_machine_learning_engineer_senior.pdf
241,legitimate,Data Analyst,Junior,1,"Liverpool, United Kingdom",True,,cv_241_data_analyst_junior.pdf
242,legitimate,Machine Learning Engineer,Senior,7,"Dublin, Ireland",True,,cv_242_machine_learning_engineer_senior.pdf
243,legitimate,Frontend Engineer,Junior,1,"Madrid, Spain",False,,cv_243_frontend_engineer_junior.pdf
244,legitimate,Data Engineer,Staff,10,"Paris, France",False,,cv_244_data_engineer_staff.pdf
245,legitimate,DevOps Engineer,Staff,10,"Amsterdam, Netherlands",False,,cv_245_devops_engineer_staff.pdf
246,legitimate,Backend Engineer,Junior,2,"Birmingham, United Kingdom",True,,cv_246_backend_engineer_junior.pdf
247,legitimate,Software Engineer,Staff,14,"Birmingham, United Kingdom",False,,cv_247_software_engineer_staff.pdf
248,legitimate,Full Stack Engineer,Staff,14,"London, United Kingdom",False,,cv_248_full_stack_engineer_staff.pdf
249,legitimate,Data Engineer,Senior,6,"Birmingham, United Kingdom",False,,cv_249_data_engineer_senior.pdf
250,legitimate,Principal Engineer,Staff,10,"Liverpool, United Kingdom",False,,cv_250_principal_engineer_staff.pdf
251,legitimate,Data Scientist,Junior,1,"Barcelona, Spain",True,,cv_251_data_scientist_junior.pdf
252,legitimate,BI Analyst,Staff,10,"Bristol, United Kingdom",False,,cv_252_bi_analyst_staff.pdf
253,legitimate,Full Stack Engineer,Junior,1,"Birmingham, United Kingdom",True,,cv_253_full_stack_engineer_junior.pdf
254,legitimate,Data Engineer,Senior,6,"Copenhagen, Denmark",False,,cv_254_data_engineer_senior.pdf
255,legitimate,Staff Engineer,Senior,8,"Amsterdam, Netherlands",True,,cv_255_staff_engineer_senior.pdf
256,legitimate,Data Analyst,Junior,2,"Lisbon, Portugal",True,,cv_256_data_analyst_junior.pdf
257,legitimate,Frontend Engineer,Senior,7,"London, United Kingdom",False,,cv_257_frontend_engineer_senior.pdf
258,legitimate,Data Scientist,Senior,6,"Bristol, United Kingdom",False,,cv_258_data_scientist_senior.pdf
259,legitimate,Principal Engineer,Staff,10,"Manchester, United Kingdom",False,,cv_259_principal_engineer_staff.pdf
260,legitimate,Backend Engineer,Mid,5,"Madrid, Spain",False,,cv_260_backend_engineer_mid.pdf
261,legitimate,Full Stack Engineer,Mid,3,"Edinburgh, United Kingdom",False,,cv_261_full_stack_engineer_mid.pdf
262,legitimate,Full Stack Engineer,Junior,2,"Glasgow, United Kingdom",True,,cv_262_full_stack_engineer_junior.pdf
263,legitimate,DevOps Engineer,Junior,2,"Liverpool, United Kingdom",True,,cv_263_devops_engineer_junior.pdf
264,legitimate,Data Analyst,Staff,12,"Manchester, United Kingdom",False,,cv_264_data_analyst_staff.pdf
265,legitimate,DevOps Engineer,Senior,7,"Manchester, United Kingdom",False,,cv_265_devops_engineer_senior.pdf
266,legitimate,Backend Engineer,Senior,6,"Amsterdam, Netherlands",False,,cv_266_backend_engineer_senior.pdf
267,legitimate,Frontend Engineer,Staff,12,"Berlin, Germany",False,,cv_267_frontend_engineer_staff.pdf
268,legitimate,Full Stack Engineer,Staff,12,"Dublin, Ireland",False,,cv_268_full_stack_engineer_staff.pdf
269,legitimate,Data Scientist,Staff,10,"Barcelona, Spain",False,,cv_269_data_scientist_staff.pdf
270,legitimate,Machine Learning Engineer,Senior,7,"Bristol, United Kingdom",True,,cv_270_machine_learning_engineer_senior.pdf
271,legitimate,Staff Engineer,Staff,12,"Madrid, Spain",False,,cv_271_staff_engineer_staff.pdf
272,legitimate,Frontend Engineer,Mid,5,"Madrid, Spain",True,,cv_272_frontend_engineer_mid.pdf
273,legitimate,Data Engineer,Senior,8,"Barcelona, Spain",True,,cv_273_data_engineer_senior.pdf
274,legitimate,Research Engineer,Junior,1,"Paris, France",True,,cv_274_research_engineer_junior.pdf
275,legitimate,Research Engineer,Mid,3,"Birmingham, United Kingdom",False,,cv_275_research_engineer_mid.pdf
276,legitimate,Staff Engineer,Staff,10,"Birmingham, United Kingdom",True,,cv_276_staff_engineer_staff.pdf
277,legitimate,Research Engineer,Senior,7,"Paris, France",False,,cv_277_research_engineer_senior.pdf
278,legitimate,Data Engineer,Mid,5,"Madrid, Spain",False,,cv_278_data_engineer_mid.pdf
279,legitimate,Backend Engineer,Staff,10,"Copenhagen, Denmark",False,,cv_279_backend_engineer_staff.pdf
280,legitimate,Backend Engineer,Staff,12,"Oxford, United Kingdom",False,,cv_280_backend_engineer_staff.pdf
281,legitimate,Data Scientist,Junior,1,"Lisbon, Portugal",True,,cv_281_data_scientist_junior.pdf
282,legitimate,Data Analyst,Junior,2,"Oxford, United Kingdom",False,,cv_282_data_analyst_junior.pdf
283,legitimate,DevOps Engineer,Senior,8,"Lisbon, Portugal",True,,cv_283_devops_engineer_senior.pdf
284,legitimate,Machine Learning Engineer,Junior,2,"Leeds, United Kingdom",False,,cv_284_machine_learning_engineer_junior.pdf
285,legitimate,Full Stack Engineer,Junior,2,"Amsterdam, Netherlands",False,,cv_285_full_stack_engineer_junior.pdf
286,legitimate,Data Analyst,Senior,7,"Leeds, United Kingdom",False,,cv_286_data_analyst_senior.pdf
287,legitimate,Principal Engineer,Senior,7,"Dublin, Ireland",True,,cv_287_principal_engineer_senior.pdf
288,legitimate,DevOps Engineer,Mid,3,"Lisbon, Portugal",True,,cv_288_devops_engineer_mid.pdf
289,legitimate,Data Analyst,Senior,7,"Stockholm, Sweden",True,,cv_289_data_analyst_senior.pdf
290,legitimate,Data Scientist,Junior,2,"Paris, France",False,,cv_290_data_scientist_junior.pdf
291,legitimate,Principal Engineer,Staff,14,"Barcelona, Spain",False,,cv_291_principal_engineer_staff.pdf
292,legitimate,BI Analyst,Junior,1,"Berlin, Germany",True,,cv_292_bi_analyst_junior.pdf
293,legitimate,Full Stack Engineer,Staff,14,"Dublin, Ireland",False,,cv_293_full_stack_engineer_staff.pdf
294,legitimate,Research Engineer,Mid,3,"Barcelona, Spain",False,,cv_294_research_engineer_mid.pdf
295,legitimate,Data Engineer,Junior,1,"Liverpool, United Kingdom",True,,cv_295_data_engineer_junior.pdf
296,legitimate,Backend Engineer,Mid,4,"Dublin, Ireland",False,,cv_296_backend_engineer_mid.pdf
297,legitimate,Data Scientist,Senior,6,"Stockholm, Sweden",True,,cv_297_data_scientist_senior.pdf
298,legitimate,Staff Engineer,Staff,14,"Stockholm, Sweden",True,,cv_298_staff_engineer_staff.pdf
299,legitimate,Staff Engineer,Senior,8,"Copenhagen, Denmark",True,,cv_299_staff_engineer_senior.pdf
300,legitimate,Staff Engineer,Staff,14,"Manchester, United Kingdom",False,,cv_300_staff_engineer_staff.pdf
